

----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Bitte eine Frage auswählen! | false Um die syntax darzustellen 6 | false Um die syntax darzustellen 6 | false Zu verdeutlichen, wie es aussieht 5 | false , - Müssen in Anführungszeichen 4 | false Es müssen mindestens 6 Antworten 3 | false eingetragen sein 2 | false Sortiert von Hoch zu Tief 1
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | false Japan/Fukushima 24 | false Japan/Fukushima 24 | false Sonne 22 | false Isotope 18 | false Lampe 4 | false Augen 3 | false Uran 0
|a: 0 |b: 0| CurrentScore: 22 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | false Japan/Fukushima 24 | false Japan/Fukushima 24 | true Sonne 22 | false Isotope 18 | false Lampe 4 | false Augen 3 | false Uran 0
|a: 0 |b: 0| CurrentScore: 25 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | false Japan/Fukushima 24 | false Japan/Fukushima 24 | true Sonne 22 | false Isotope 18 | false Lampe 4 | true Augen 3 | false Uran 0

----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----
|a: 188 |b: 71| CurrentScore: 44 | CurrentTeam: 2 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | false Japan/Fukushima 24 |  | true Sonne 22 |  | true Isotope 18 |  | true Lampe 4 |  | false Augen 3 |  | true Uran 0 | 
|a: 188 |b: 71| CurrentScore: 68 | CurrentTeam: 2 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | true Japan/Fukushima 24 |  | true Sonne 22 |  | true Isotope 18 |  | true Lampe 4 |  | false Augen 3 |  | true Uran 0 | 
|a: 188 |b: 71| CurrentScore: 71 | CurrentTeam: 2 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | true Japan/Fukushima 24 |  | true Sonne 22 |  | true Isotope 18 |  | true Lampe 4 |  | true Augen 3 |  | true Uran 0 | 
|a: 188 |b: 142| CurrentScore: 71 | CurrentTeam: 2 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | true Japan/Fukushima 24 |  | true Sonne 22 |  | true Isotope 18 |  | true Lampe 4 |  | true Augen 3 |  | true Uran 0 | 
|a: 188 |b: 142| CurrentScore: 71 | CurrentTeam: -1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | true Japan/Fukushima 24 |  | true Sonne 22 |  | true Isotope 18 |  | true Lampe 4 |  | true Augen 3 |  | true Uran 0 | 
|a: 188 |b: 142| CurrentScore: 71 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | true Japan/Fukushima 24 |  | true Sonne 22 |  | true Isotope 18 |  | true Lampe 4 |  | true Augen 3 |  | true Uran 0 | 
|a: 188 |b: 142| CurrentScore: 71 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | false Hydroxid 26 |  | true Natrium 10 |  | true Oxid 0 |  | false Sulfat 0 |  | true Kartoffel 0 | 
|a: 188 |b: 142| CurrentScore: 10 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | false Chlorid 45 |  | false Hydroxid 26 |  | true Natrium 10 |  | true Oxid 0 |  | false Sulfat 0 |  | true Kartoffel 0 | 
|a: 188 |b: 142| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | false Chlorid 45 |  | false Hydroxid 26 |  | false Natrium 10 |  | true Oxid 0 |  | false Sulfat 0 |  | true Kartoffel 0 | 
|a: 188 |b: 142| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | false Chlorid 45 |  | false Hydroxid 26 |  | false Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | true Kartoffel 0 | 
|a: 188 |b: 142| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | false Chlorid 45 |  | false Hydroxid 26 |  | false Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 188 |b: 142| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | false Chlorid 45 |  | false Hydroxid 26 |  | false Natrium 10 |  | false Oxid 0 |  | true Sulfat 0 |  | false Kartoffel 0 | 
|a: 188 |b: 142| CurrentScore: 10 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | false Chlorid 45 |  | false Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | true Sulfat 0 |  | false Kartoffel 0 | 
|a: 188 |b: 142| CurrentScore: 36 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | false Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | true Sulfat 0 |  | false Kartoffel 0 | 
|a: 188 |b: 142| CurrentScore: 36 | CurrentTeam: 1 | CurrentLives: 2 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | false Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | true Sulfat 0 |  | false Kartoffel 0 | 
|a: 188 |b: 142| CurrentScore: 36 | CurrentTeam: 1 | CurrentLives: 1 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | false Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | true Sulfat 0 |  | false Kartoffel 0 | 
|a: 188 |b: 142| CurrentScore: 36 | CurrentTeam: 1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | false Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | true Sulfat 0 |  | false Kartoffel 0 | 
|a: 188 |b: 142| CurrentScore: 36 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | false Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | true Sulfat 0 |  | false Kartoffel 0 | 
|a: 188 |b: 142| CurrentScore: 36 | CurrentTeam: 2 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | false Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | true Sulfat 0 |  | false Kartoffel 0 | 
|a: 224 |b: 142| CurrentScore: 36 | CurrentTeam: 2 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | false Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | true Sulfat 0 |  | false Kartoffel 0 | 
|a: 224 |b: 142| CurrentScore: 36 | CurrentTeam: -1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | false Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | true Sulfat 0 |  | false Kartoffel 0 | 
|a: 224 |b: 142| CurrentScore: 36 | CurrentTeam: -1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | false Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | true Sulfat 0 |  | false Kartoffel 0 | 
|a: 224 |b: 142| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | false Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | true Sulfat 0 |  | false Kartoffel 0 | 
